0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
4.3415327,4.3323994,4.314163,4.2869706,4.2512493,4.2079487,4.158824,4.106696,4.055553,4.010343,3.9763215,3.9579988,3.9579988,3.9763215,4.0103426,4.055553,4.106696,4.158824,4.2079487,4.2512493,4.2869706,4.314163,4.3323994,4.3415327,0.0
4.3506665,4.3415017,4.3231196,4.2955,4.2588286,4.213772,4.1618276,4.1057105,4.0496197,3.9991543,3.9606233,3.939676,3.939676,3.9606228,3.9991543,4.0496197,4.1057105,4.1618276,4.213772,4.2588286,4.2955,4.3231196,4.341501,4.350667,0.0
4.368965,4.359822,4.341314,4.31308,4.2747946,4.2264824,4.1690035,4.1047,4.038061,3.9760315,3.9273403,3.9004064,3.9004064,3.9273403,3.9760313,4.038061,4.1047,4.1690035,4.2264824,4.2747946,4.3130794,4.341314,4.3598213,4.3689656,0.0
4.396408,4.3875055,4.369234,4.3407116,4.300787,4.2483597,4.1830044,4.1060243,4.0218935,3.93957,3.8722997,3.8342032,3.8342032,3.8722997,3.93957,4.0218935,4.1060243,4.1830044,4.248359,4.300787,4.3407116,4.369233,4.3875055,4.396408,0.0
4.4327526,4.4245586,4.407405,4.379745,4.339282,4.2831645,4.2086306,4.114499,4.0039196,3.8880544,3.7880862,3.7299035,3.7299035,3.7880862,3.8880544,4.0039196,4.1144986,4.2086306,4.283165,4.3392816,4.3797455,4.407404,4.4245586,4.4327526,0.0
4.4772916,4.470572,4.456081,4.431583,4.3934307,4.3363857,4.2538543,4.139422,3.991231,3.820642,3.6620867,3.5674205,3.5674205,3.6620867,3.820642,3.9912314,4.1394215,4.253854,4.3363857,4.3934307,4.4315825,4.456081,4.470572,4.4772916,0.0
4.52855,4.524356,4.514765,4.497074,4.4664736,4.4150934,4.330979,4.1981025,4.0009413,3.7411957,3.4721982,3.3102713,3.3102715,3.4721985,3.7411957,4.0009413,4.198103,4.330979,4.415093,4.4664736,4.4970737,4.514765,4.5243564,4.52855,0.0
4.5840025,4.583539,4.5815463,4.575476,4.560295,4.526536,4.4568644,4.3210692,4.0732346,3.6710021,3.1752398,2.891195,2.891195,3.1752398,3.6710021,4.0732346,4.3210692,4.4568644,4.5265355,4.5602946,4.5754757,4.5815463,4.583539,4.584003,0.0
4.639919,4.64425,4.6524053,4.6629896,4.6726947,4.6738906,4.6488733,4.556076,4.299926,3.6943386,2.6665635,2.188074,2.188074,2.6665637,3.6943386,4.299926,4.556076,4.6488733,4.6738906,4.672694,4.662989,4.6524053,4.64425,4.6399193,0.0
4.6915045,4.701137,4.720836,4.751381,4.793603,4.8474584,4.908663,4.954436,4.876054,4.1398625,1.608602,1.0064635,1.0064635,1.6086019,4.1398625,4.876054,4.954436,4.9086623,4.8474584,4.793603,4.751381,4.720836,4.7011366,4.6915045,0.0
4.7334576,4.7479568,4.7784204,4.828096,4.9028788,5.0136766,5.183883,5.476951,6.1099906,7.9582067,10.01247,10.567032,10.567033,10.01247,7.9582067,6.1099906,5.476951,5.183883,5.0136766,4.9028788,4.828096,4.7784204,4.7479563,4.733458,0.0
4.7609124,4.7788115,4.8167934,4.879703,4.9761395,5.1204877,5.336242,5.659495,6.12875,6.6614594,8.525085,9.337845,9.337845,8.525085,6.6614594,6.12875,5.659495,5.336242,5.120487,4.976139,4.8797026,4.8167934,4.7788115,4.760913,0.0
4.770469,4.7895827,4.830238,4.8977833,5.001488,5.155892,5.381103,5.696037,6.084054,6.38268,8.088569,8.921419,8.921418,8.088568,6.3826804,6.084054,5.696037,5.381103,5.1558914,5.001488,4.897783,4.830238,4.7895823,4.770469,0.0
4.760913,4.7788115,4.8167934,4.879703,4.9761395,5.1204877,5.336242,5.659495,6.12875,6.6614594,8.525086,9.337845,9.337845,8.5250845,6.6614594,6.12875,5.659495,5.336242,5.120487,4.976139,4.8797026,4.8167934,4.778811,4.760913,0.0
4.733458,4.7479568,4.7784204,4.828096,4.9028788,5.0136766,5.183883,5.476951,6.10999,7.9582067,10.01247,10.567033,10.567032,10.012469,7.9582067,6.10999,5.476951,5.183883,5.0136766,4.9028788,4.828096,4.7784204,4.7479563,4.733458,0.0
